user_id,age,gender,city_level,monthly_consumption,shopping_frequency,product_diversity,high_value_purchase_history,average_browse_time,promotion_participation,favorites_count,friends_count,sharing_times,purchase_high_value_probability
1,31,1,2,8301,4,8,0,253,11,77,367,39,1
2,19,1,1,1401,16,28,0,401,34,88,453,33,1
3,69,0,4,6965,0,46,1,172,5,65,6,50,1
4,21,1,1,1202,4,23,1,496,19,12,325,38,0
5,33,0,3,8488,3,34,0,200,1,4,493,70,1
6,42,1,1,8318,10,26,1,330,21,79,72,88,0
7,45,1,3,7069,3,4,1,617,50,28,313,20,0
8,39,1,4,6213,11,36,0,389,17,31,415,50,0
9,65,1,2,2888,10,10,1,778,7,81,362,47,1
10,48,0,1,2572,8,14,0,139,43,80,218,58,1
11,29,0,3,7791,10,42,0,105,8,30,317,52,1
12,40,1,2,5522,4,33,0,35,8,69,287,95,1
13,36,1,3,9359,0,50,1,521,28,60,380,5,0
14,36,1,4,4338,6,19,1,892,13,83,231,61,0
15,55,1,3,1305,4,24,0,284,27,6,222,87,0
16,60,1,4,9051,18,11,0,427,6,50,343,8,0
17,51,1,1,8556,17,38,0,551,1,13,473,28,0
18,21,0,3,1390,11,10,1,733,45,66,478,17,0
19,47,0,1,9881,5,6,1,156,16,4,441,63,1
20,60,1,2,4799,1,31,1,795,13,7,492,55,0
21,30,0,1,4673,8,43,1,501,34,39,291,80,1
22,67,0,1,5274,18,50,0,869,9,5,404,3,0
23,37,1,4,9223,13,34,0,628,33,17,297,25,1
24,40,1,4,1711,19,31,0,444,8,45,82,90,0
25,65,1,1,4361,4,42,0,785,16,49,241,89,1
26,64,0,1,6669,1,31,0,653,37,71,293,58,0
27,29,1,3,5745,13,48,1,821,49,55,356,52,0
28,68,1,4,9674,14,49,0,479,1,52,180,66,1
29,27,1,2,9092,15,36,0,29,33,75,396,7,1
30,46,1,4,7792,1,23,0,487,20,8,167,81,0
31,67,0,4,6220,2,15,0,204,15,91,279,35,1
32,61,0,4,4685,13,8,0,538,26,25,22,61,0
33,42,0,3,5099,2,29,0,623,34,39,33,39,1
34,66,1,3,3538,13,18,1,459,49,28,13,31,1
35,30,1,3,9102,8,46,0,937,46,8,252,30,0
36,44,1,2,6784,13,40,1,762,23,33,401,19,0
37,38,0,3,8268,6,48,1,607,16,97,256,34,1
38,38,0,4,5069,10,14,1,919,30,50,201,42,1
39,61,0,3,5840,4,14,0,359,18,41,43,92,1
40,54,0,2,9972,3,1,1,870,5,41,86,37,1
41,20,0,1,9942,3,19,1,406,4,90,18,95,0
42,62,1,1,4508,11,47,0,545,50,91,316,100,0
43,26,1,1,8031,10,42,0,636,0,34,174,12,0
44,44,0,4,4624,2,21,1,656,17,43,318,84,1
45,41,0,3,2485,13,30,1,562,18,81,469,91,1
46,18,0,2,9009,7,50,1,210,20,20,472,88,0
47,48,0,4,6214,12,9,1,554,5,65,277,94,0
48,48,0,3,9703,13,10,0,51,20,87,205,51,0
49,51,1,2,5197,11,30,1,423,34,16,460,37,0
50,63,0,3,5897,3,27,0,230,14,31,239,70,0
51,40,0,2,7358,7,10,1,581,4,77,96,80,0
52,70,0,3,3308,7,9,1,561,41,61,153,99,0
53,19,1,1,3427,15,28,1,300,20,80,225,58,1
54,29,0,3,7043,1,4,0,517,42,61,69,84,1
55,32,0,4,8616,13,3,0,251,33,71,37,46,0
56,31,0,3,4145,15,12,1,869,8,22,244,0,0
57,47,0,4,8071,16,39,1,567,26,60,127,43,0
58,23,1,1,5618,12,42,1,651,45,0,202,76,0
59,64,1,3,9527,17,19,1,400,11,58,73,72,1
60,69,1,3,1544,10,42,0,383,27,80,197,56,0
61,57,0,1,3245,7,27,1,516,48,94,242,45,0
62,59,0,1,8977,14,13,1,912,11,24,279,88,0
63,65,1,2,9210,6,19,0,844,7,100,396,20,1
64,52,1,4,6905,2,7,0,488,42,39,492,76,0
65,21,1,3,1066,16,47,1,313,14,54,242,87,0
66,42,1,3,9603,15,33,0,677,19,49,180,87,1
67,63,1,4,7299,2,17,0,211,16,35,343,59,1
68,34,1,4,3770,4,42,0,999,26,4,168,98,1
69,33,1,1,5689,10,10,1,991,35,63,361,39,1
70,18,0,3,9297,14,22,0,854,49,71,136,33,1
71,57,1,1,9722,2,39,1,262,44,1,164,96,1
72,43,0,2,6101,15,5,0,788,43,21,340,80,0
73,33,1,3,4700,6,19,0,107,21,85,310,67,0
74,46,0,3,3198,18,12,1,163,45,9,207,0,1
75,42,1,4,4934,4,26,1,644,47,35,407,53,0
76,45,1,4,6595,0,30,0,602,31,69,9,57,0
77,51,0,3,1631,7,24,0,546,47,67,466,66,0
78,32,1,4,2907,9,37,1,772,37,1,294,26,1
79,65,0,4,9195,17,30,1,184,15,91,71,27,0
80,31,1,1,5841,5,45,0,502,33,63,197,86,1
81,59,1,2,4680,13,50,0,443,26,53,430,36,0
82,70,0,4,4238,7,32,0,61,14,20,340,74,0
83,69,1,1,5617,10,2,0,478,3,58,172,6,0
84,35,1,4,1426,10,12,1,521,20,59,178,96,0
85,50,1,4,2801,11,32,1,902,12,47,110,82,0
